"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1Espresso Royale Caffe","Espresso Royale Caffe","(617) 859-9515","https://www.yellowpages.com/boston-ma/mip/espresso-royale-caffe-12344456?lid=12344456","Coffee Shops","","3","286 Newbury St Ste A","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"2Amsterdam Cafe","Amsterdam Cafe","(617) 437-6400","https://www.yellowpages.com/boston-ma/mip/amsterdam-cafe-15636485?lid=15636485","Coffee Shops,Restaurants","","3","517 Columbus Ave","Boston","MA","02118","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"3The Paramount","The Paramount","(617) 720-1152","https://www.yellowpages.com/boston-ma/mip/the-paramount-6874419?lid=6874419","Coffee Shops,Delicatessens","http://www.paramountboston.com","28","44 Charles St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"4Kingston Station","Kingston Station","(857) 753-4159","https://www.yellowpages.com/boston-ma/mip/kingston-station-475831952?lid=475831952","Coffee & Espresso Restaurants","","13","92 Bedford St","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"5Starbucks Coffee","Starbucks Coffee","(617) 227-2959","https://www.yellowpages.com/boston-ma/mip/starbucks-coffee-6082004?lid=6082004","Coffee Shops","http://www.starbucks.com","13","222 Cambridge St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"6Piattini","Piattini","(617) 536-2020","https://www.yellowpages.com/boston-ma/mip/piattini-4270070?lid=4270070","Coffee Shops","http://www.piattini.com","16","226 Newbury St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"7Gardner Museum Cafe","Gardner Museum Cafe","(617) 566-1088","https://www.yellowpages.com/boston-ma/mip/gardner-museum-cafe-19585129?lid=19585129","Coffee Shops,American Restaurants","http://www.gardnermuseum.org/visit/cafe","4","25 Evans Way","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"8Boston Kebab House","Boston Kebab House","(617) 227-6900","https://www.yellowpages.com/boston-ma/mip/boston-kebab-house-22292226?lid=22292226","Coffee Shops,Delicatessens","http://www.bostonkebabhouse.com","4","7 Liberty Sq Ste 1","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"9Dino's Cafe","Dino's Cafe","(617) 227-1991","https://www.yellowpages.com/boston-ma/mip/dinos-cafe-5835603?lid=5835603","Coffee Shops,Take Out Restaurants","http://www.dinosnorthendboston.com","4","141 Salem St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"10Charlie's Sandwich Shoppe","Charlie's Sandwich Shoppe","(617) 536-7669","https://www.yellowpages.com/boston-ma/mip/charlies-sandwich-shoppe-9552345?lid=9552345","Coffee Shops,Sandwich Shops","https://www.facebook.com/CharliesSandwichShoppe","3","429 Columbus Ave Ste 1","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"11Espresso Royale Caffe","Espresso Royale Caffe","(617) 277-8737","https://www.yellowpages.com/boston-ma/mip/espresso-royale-caffe-456088011?lid=456088011","Coffee Shops","http://www.pavementcoffeehouse.com","3","736 Commonwealth Ave","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"12Crispy Crepes Cafe","Crispy Crepes Cafe","(617) 859-9585","https://www.yellowpages.com/boston-ma/mip/crispy-crepes-cafe-9760388?lid=9760388","Coffee Shops","http://crispycrepescafe.com","2","714 Commonwealth Ave","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"13Amsterdam Cafe","Amsterdam Cafe","(617) 464-6488","https://www.yellowpages.com/boston-ma/mip/amsterdam-cafe-3644218?lid=3644218","Coffee Shops,Take Out Restaurants","http://www.amsterdamcafesouthboston.net","2","483 E Broadway","Boston","MA","02127","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"14Cafe Bella Vita","Cafe Bella Vita","(617) 720-4505","https://www.yellowpages.com/boston-ma/mip/cafe-bella-vita-5382177?lid=5382177","Coffee Shops,Delicatessens","","3","30 Charles St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"15Pavement Coffeehouse","Pavement Coffeehouse","(617) 859-7080","https://www.yellowpages.com/boston-ma/mip/pavement-coffeehouse-472873340?lid=472873340","Coffee Shops","http://www.pavementcoffeehouse.com","1","44 Gainsborough St","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"16Wired Puppy","Wired Puppy","(857) 366-4655","https://www.yellowpages.com/boston-ma/mip/wired-puppy-483780678?lid=483780678","Coffee Shops","http://www.wiredpuppy.com","1","250 Newbury St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"17Peet's Coffee & Tea","Peet's Coffee & Tea","(857) 366-6704","https://www.yellowpages.com/boston-ma/mip/peets-coffee-tea-504976714?lid=504976714","Coffee Shops","http://www.peets.com","","66 Charles St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"18Flat Black Coffee Company","Flat Black Coffee Company","(617) 951-1440","https://www.yellowpages.com/boston-ma/mip/flat-black-coffee-company-462236537?lid=462236537","Coffee Shops","http://www.flatblackcoffee.com","","50 Broad St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"19Allegro Coffee Company","Allegro Coffee Company","(617) 723-0004","https://www.yellowpages.com/boston-ma/mip/allegro-coffee-company-534058760?lid=534058760","Coffee Shops","http://www.allegrocoffee.com/locations/boston/massachusetts/charles_river_place","","181 Cambridge St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"20Thinking Cup","Thinking Cup","(617) 482-5555","https://www.yellowpages.com/boston-ma/mip/thinking-cup-460706043?lid=460706043","Coffee Shops","http://www.thinkingcup.com","","165 Tremont St","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"21Caffe Paradiso","Caffe Paradiso","(617) 742-1768","https://www.yellowpages.com/boston-ma/mip/caffe-paradiso-7889654?lid=7889654","Coffee Shops","","","255 Hanover St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"22Barrington Coffee Roasting Company","Barrington Coffee Roasting Company","(857) 277-1914","https://www.yellowpages.com/boston-ma/mip/barrington-coffee-roasting-company-469393398?lid=469393398","Coffee Shops","http://www.barringtoncoffee.com","","346 Congress St","Boston","MA","02210","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"23Thinking Cup","Thinking Cup","(617) 247-4444","https://www.yellowpages.com/boston-ma/mip/thinking-cup-483330581?lid=483330581","Coffee Shops","http://www.thinkingcup.com","","85 Newbury St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"24Allegro Coffee Company","Allegro Coffee Company","(617) 904-1000","https://www.yellowpages.com/boston-ma/mip/allegro-coffee-company-534062769?lid=534062769","Coffee Shops","http://www.allegrocoffee.com/locations/boston/massachusetts/ink-block","","348 Harrison Ave","Boston","MA","02118","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"25Allegro Coffee Company","Allegro Coffee Company","(617) 375-1010","https://www.yellowpages.com/boston-ma/mip/allegro-coffee-company-533816709?lid=533816709","Coffee Shops","http://www.allegrocoffee.com/locations/boston/massachusetts/symphony","","15 Westland Ave","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"26Villa Mexico Cafe","Villa Mexico Cafe","(617) 957-0725","https://www.yellowpages.com/boston-ma/mip/villa-mexico-cafe-513508625?lid=513508625","Coffee Shops,Restaurants","http://www.facebook.com/VillaMexicoCafe","","121 Water St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"27Flame Cafe","Flame Cafe","(857) 239-9527","https://www.yellowpages.com/boston-ma/mip/flame-cafe-481599593?lid=481599593","Coffee Shops,Vegan Restaurants","http://flamecafeofboston.com","","2 Oliver St Lbby 1","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"28Newsfeed Cafe","Newsfeed Cafe","(857) 317-3103","https://www.yellowpages.com/boston-ma/mip/newsfeed-cafe-530243335?lid=530243335","Coffee Shops,Restaurants","http://www.newsfeedcafe.com","","700 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"29Bar Boulud","Bar Boulud","(617) 535-8800","https://www.yellowpages.com/boston-ma/mip/bar-boulud-546390613?lid=546390613","Coffee Shops,Coffee & Tea,Restaurants","https://www.mandarinoriental.com/boston/back-bay/fine-dining/restaurants/french-cuisine/bar-boulud?kw=MOBOS_boulud&htl=MOBOS&eng=yext&src=local","","776 Boylston St","Boston","MA","02199","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
"30Barrington Coffee","Barrington Coffee","(857) 250-2780","https://www.yellowpages.com/boston-ma/mip/barrington-coffee-509080361?lid=509080361","Coffee & Espresso Restaurants","https://barringtoncoffee.com/locations/newbury-street-cafe","","303 Newbury St","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=coffee%20shop&geo_location_terms=Boston,MA"
